"time","OP"
3.066,0.026
3.068,0.028
3.07,0.03
3.072,0.032
3.074,0.034
3.076,0.036
3.078,0.038
3.08,0.04
3.08,0.02
3.082,0.022
3.084,0.024
3.086,0.026
3.088,0.028
3.09,0.03
3.092,0.032
3.094,0.034
3.096,0.036
3.098,0.038
3.1,0.04
3.1,0.02
3.102,0.022
3.104,0.024
3.106,0.026
3.108,0.028
3.11,0.03
3.112,0.032
3.114,0.034
3.116,0.036
3.118,0.038
3.12,0.04
3.12,0.02
3.122,0.022
3.124,0.024
3.126,0.026
3.128,0.028
3.13,0.03
3.132,0.032
3.134,0.034
3.136,0.036
3.138,0.038
3.14,0.04
3.14,0.02
3.142,0.022
3.144,0.024
3.146,0.026
3.148,0.028
3.15,0.03
3.152,0.032
3.154,0.034
3.156,0.036
3.158,0.038
3.16,0.04
3.16,0.02
3.162,0.022
3.164,0.024
3.166,0.026
3.168,0.028
3.17,0.03
